id,gender,hand,exercise,condition,value
1307,F,dominant,isotonic,before,23
1307,F,dominant,isotonic,after,23
1307,F,dominant,isotonic,time,33
1307,F,dominant,isotonic,after-before,0
1307,F,dominant,isometric,after,26
1307,F,dominant,isometric,time,38
1307,F,non-dominant,isotonic,before-any,26
1307,F,non-dominant,isotonic,after,5
1307,F,non-dominant,isotonic,time,55
1307,F,non-dominant,isotonic,after-before,21
1307,F,non-dominant,isometric,after,4
1307,F,non-dominant,isometric,time,96
2497,F,dominant,isotonic,before,33
2497,F,dominant,isotonic,after,18
2497,F,dominant,isotonic,time,74
2497,F,dominant,isotonic,after-before,15
2497,F,dominant,isometric,before,37
2497,F,dominant,isometric,after,28
2497,F,dominant,isometric,time,312
2497,F,dominant,isometric,after-before,9
2497,F,non-dominant,isotonic,before-any,28
2497,F,non-dominant,isotonic,after,21
2497,F,non-dominant,isotonic,time,40
2497,F,non-dominant,isotonic,after-before,7
2497,F,non-dominant,isometric,before,12
2497,F,non-dominant,isometric,after,20
2497,F,non-dominant,isometric,time,362
2497,F,non-dominant,isometric,after-before,8
4627,M,dominant,isotonic,before,100
4627,M,dominant,isotonic,after,90
4627,M,dominant,isotonic,time,75
4627,M,dominant,isotonic,after-before,10
4627,M,dominant,isometric,before,100
4627,M,dominant,isometric,after,62
4627,M,dominant,isometric,time,80
4627,M,dominant,isometric,after-before,38
4627,M,non-dominant,isotonic,before-any,110
4627,M,non-dominant,isotonic,after,107
4627,M,non-dominant,isotonic,time,90
4627,M,non-dominant,isotonic,after-before,3
4627,M,non-dominant,isometric,before,107
4627,M,non-dominant,isometric,after,82
4627,M,non-dominant,isometric,time,85
4627,M,non-dominant,isometric,after-before,28
1102,F,dominant,isotonic,before,5
1102,F,dominant,isotonic,after,5
1102,F,dominant,isotonic,time,70
1102,F,dominant,isotonic,after-before,0
1102,F,dominant,isometric,before,6
1102,F,dominant,isometric,after,6
1102,F,dominant,isometric,time,55
1102,F,dominant,isometric,after-before,0
1102,F,non-dominant,isotonic,before-any,14
1102,F,non-dominant,isotonic,after,20
1102,F,non-dominant,isotonic,time,53
1102,F,non-dominant,isotonic,after-before,-6
1102,F,non-dominant,isometric,before,28
1102,F,non-dominant,isometric,after,30
1102,F,non-dominant,isometric,time,120
1102,F,non-dominant,isometric,after-before,-16
1955,F,dominant,isotonic,before,10
1955,F,dominant,isotonic,after,17
1955,F,dominant,isotonic,time,30
1955,F,dominant,isotonic,after-before,-7
1955,F,dominant,isometric,before,36
1955,F,dominant,isometric,after,7
1955,F,dominant,isometric,time,80
1955,F,dominant,isometric,after-before,29
1955,F,non-dominant,isotonic,before-any,5
1955,F,non-dominant,isotonic,after,6
1955,F,non-dominant,isotonic,time,57
1955,F,non-dominant,isotonic,after-before,-1
1955,F,non-dominant,isometric,before,2
1955,F,non-dominant,isometric,after,2
1955,F,non-dominant,isometric,time,120
1955,F,non-dominant,isometric,after-before,3
2018,F,dominant,isotonic,before,37
2018,F,dominant,isotonic,after,50
2018,F,dominant,isotonic,time,120
2018,F,dominant,isotonic,after-before,-13
2018,F,dominant,isometric,after,51
2018,F,dominant,isometric,time,132
2018,F,non-dominant,isotonic,before-any,37
2018,F,non-dominant,isotonic,after,38
2018,F,non-dominant,isotonic,time,108
2018,F,non-dominant,isotonic,after-before,-1
2018,F,non-dominant,isometric,after,53
2018,F,non-dominant,isometric,time,180
3333,F,dominant,isotonic,before,44
3333,F,dominant,isotonic,after,31
3333,F,dominant,isotonic,time,66
3333,F,dominant,isotonic,after-before,13
3333,F,dominant,isometric,before,44
3333,F,dominant,isometric,after,30
3333,F,dominant,isometric,time,140
3333,F,dominant,isometric,after-before,14
3333,F,non-dominant,isotonic,before-any,50
3333,F,non-dominant,isotonic,after,7
3333,F,non-dominant,isotonic,time,79
3333,F,non-dominant,isotonic,after-before,43
3333,F,non-dominant,isometric,before,50
3333,F,non-dominant,isometric,after,20
3333,F,non-dominant,isometric,time,180
3333,F,non-dominant,isometric,after-before,30
5515,F,dominant,isotonic,before,15
5515,F,dominant,isotonic,after,20
5515,F,dominant,isotonic,time,40
5515,F,dominant,isotonic,after-before,-5
5515,F,dominant,isometric,after,18
5515,F,dominant,isometric,time,30
5515,F,non-dominant,isotonic,before-any,62
5515,F,non-dominant,isotonic,after,62
5515,F,non-dominant,isotonic,time,40
5515,F,non-dominant,isotonic,after-before,0
5515,F,non-dominant,isometric,after,50
5515,F,non-dominant,isometric,time,30
5515,F,non-dominant,isometric,after-before,12
4416,F,dominant,isotonic,before,26
4416,F,dominant,isotonic,after,38
4416,F,dominant,isotonic,time,120
4416,F,dominant,isotonic,after-before,-12
4416,F,dominant,isometric,before,26
4416,F,dominant,isometric,after,20
4416,F,dominant,isometric,time,80
4416,F,dominant,isometric,after-before,6
4416,F,non-dominant,isotonic,before-any,48
4416,F,non-dominant,isotonic,after,20
4416,F,non-dominant,isotonic,time,135
4416,F,non-dominant,isotonic,after-before,28
4416,F,non-dominant,isometric,before,48
4416,F,non-dominant,isometric,after,22
4416,F,non-dominant,isometric,time,112
4416,F,non-dominant,isometric,after-before,26
7814,M,dominant,isotonic,before,105
7814,M,dominant,isotonic,after,105
7814,M,dominant,isotonic,time,47
7814,M,dominant,isotonic,after-before,0
7814,M,dominant,isometric,before,105
7814,M,dominant,isometric,after,62
7814,M,dominant,isometric,time,82
7814,M,dominant,isometric,after-before,43
7814,M,non-dominant,isotonic,before-any,62
7814,M,non-dominant,isotonic,after,40
7814,M,non-dominant,isotonic,time,56
7814,M,non-dominant,isotonic,after-before,22
7814,M,non-dominant,isometric,before,55
7814,M,non-dominant,isometric,after,36
7814,M,non-dominant,isometric,time,60
7814,M,non-dominant,isometric,after-before,26
7714,F,dominant,isotonic,before,49
7714,F,dominant,isotonic,after,12
7714,F,dominant,isotonic,time,62
7714,F,dominant,isotonic,after-before,37
7714,F,dominant,isometric,before,49
7714,F,dominant,isometric,after,10
7714,F,dominant,isometric,time,121
7714,F,dominant,isometric,after-before,39
7714,F,non-dominant,isotonic,before-any,33
7714,F,non-dominant,isotonic,after,12
7714,F,non-dominant,isotonic,time,63
7714,F,non-dominant,isotonic,after-before,21
7714,F,non-dominant,isometric,before,33
7714,F,non-dominant,isometric,after,6
7714,F,non-dominant,isometric,time,118
7714,F,non-dominant,isometric,after-before,27
2124,F,dominant,isotonic,before,23
2124,F,dominant,isotonic,after,20
2124,F,dominant,isotonic,time,38
2124,F,dominant,isotonic,after-before,3
2124,F,dominant,isometric,before,28
2124,F,dominant,isometric,after,38
2124,F,dominant,isometric,time,30
2124,F,dominant,isometric,after-before,-10
2124,F,non-dominant,isotonic,before-any,20
2124,F,non-dominant,isotonic,after,20
2124,F,non-dominant,isotonic,time,30
2124,F,non-dominant,isotonic,after-before,0
2124,F,non-dominant,isometric,after,38
2124,F,non-dominant,isometric,time,40
1969,M,dominant,isotonic,before,62
1969,M,dominant,isotonic,after,38
1969,M,dominant,isotonic,time,64
1969,M,dominant,isotonic,after-before,24
1969,M,dominant,isometric,before,75
1969,M,dominant,isometric,after,48
1969,M,dominant,isometric,time,43
1969,M,dominant,isometric,after-before,27
1969,M,non-dominant,isotonic,before-any,50
1969,M,non-dominant,isotonic,after,38
1969,M,non-dominant,isotonic,time,61
1969,M,non-dominant,isotonic,after-before,12
1969,M,non-dominant,isometric,before,60
1969,M,non-dominant,isometric,after,38
1969,M,non-dominant,isometric,time,40
1969,M,non-dominant,isometric,after-before,12
1003,M,dominant,isotonic,before,72
1003,M,dominant,isotonic,after,58
1003,M,dominant,isotonic,time,50
1003,M,dominant,isotonic,after-before,14
1003,M,dominant,isometric,before,42
1003,M,dominant,isometric,after,26
1003,M,dominant,isometric,time,17
1003,M,dominant,isometric,after-before,16
1003,M,non-dominant,isotonic,before-any,20
1003,M,non-dominant,isotonic,after,28
1003,M,non-dominant,isotonic,time,104
1003,M,non-dominant,isotonic,after-before,-8
1003,M,non-dominant,isometric,before,13
1003,M,non-dominant,isometric,after,26
1003,M,non-dominant,isometric,time,45
1003,M,non-dominant,isometric,after-before,-6
1920,F,dominant,isotonic,before,31
1920,F,dominant,isotonic,after,20
1920,F,dominant,isotonic,time,100
1920,F,dominant,isotonic,after-before,11
1920,F,dominant,isometric,before,22
1920,F,dominant,isometric,after,26
1920,F,dominant,isometric,time,38
1920,F,dominant,isometric,after-before,-4
1920,F,non-dominant,isotonic,before-any,22
1920,F,non-dominant,isotonic,after,11
1920,F,non-dominant,isotonic,time,100
1920,F,non-dominant,isotonic,after-before,11
1920,F,non-dominant,isometric,before,13
1920,F,non-dominant,isometric,after,26
1920,F,non-dominant,isometric,time,110
1920,F,non-dominant,isometric,after-before,-4
1147,F,dominant,isotonic,before,31
1147,F,dominant,isotonic,after,35
1147,F,dominant,isotonic,time,70
1147,F,dominant,isotonic,after-before,-4
1147,F,dominant,isometric,before,47
1147,F,dominant,isometric,after,38
1147,F,dominant,isometric,time,60
1147,F,dominant,isometric,after-before,9
1147,F,non-dominant,isotonic,before-any,25
1147,F,non-dominant,isotonic,after,10
1147,F,non-dominant,isotonic,time,43
1147,F,non-dominant,isotonic,after-before,15
1147,F,non-dominant,isometric,before,28
1147,F,non-dominant,isometric,after,10
1147,F,non-dominant,isometric,time,52
1147,F,non-dominant,isometric,after-before,15
3803,F,dominant,isotonic,before,35
3803,F,dominant,isotonic,after,28
3803,F,dominant,isotonic,time,32
3803,F,dominant,isotonic,after-before,7
3803,F,dominant,isometric,before,42
3803,F,dominant,isometric,after,32
3803,F,dominant,isometric,time,36
3803,F,dominant,isometric,after-before,10
3803,F,non-dominant,isotonic,before-any,22
3803,F,non-dominant,isotonic,after,17
3803,F,non-dominant,isotonic,time,35
3803,F,non-dominant,isotonic,after-before,5
3803,F,non-dominant,isometric,before,15
3803,F,non-dominant,isometric,after,15
3803,F,non-dominant,isometric,time,36
3803,F,non-dominant,isometric,after-before,7
1012,F,dominant,isotonic,before,25
1012,F,dominant,isotonic,after,20
1012,F,dominant,isotonic,time,40
1012,F,dominant,isotonic,after-before,5
1012,F,dominant,isometric,before,28
1012,F,dominant,isometric,after,6
1012,F,dominant,isometric,time,45
1012,F,dominant,isometric,after-before,22
1012,F,non-dominant,isotonic,before-any,4
1012,F,non-dominant,isotonic,after,13
1012,F,non-dominant,isotonic,time,35
1012,F,non-dominant,isotonic,after-before,-9
1012,F,non-dominant,isometric,before,10
1012,F,non-dominant,isometric,after,10
1012,F,non-dominant,isometric,time,45
1012,F,non-dominant,isometric,after-before,-6
